MESS_DATUM,T_aussen_C,Heizlast_kW
2019042503,9.1,596.2291825
2019042504,8.7,618.1091524999999
2019042505,9.4,557.579205
2019042506,10.2,0.0
2019042507,12.1,0.0
2019042508,13.8,0.0
2019042509,14.7,0.0
2019042510,16.4,0.0
2019042511,19.6,0.0
2019042512,19.8,0.0
2019042513,19.4,0.0
2019042514,20.9,0.0
2019042515,21.0,0.0
2019042516,20.5,0.0
2019042517,18.3,0.0
2019042518,16.2,0.0
2019042519,14.6,139.85959500000004
2019042520,13.8,339.1395349999999
2019042521,13.3,366.4894974999999
2019042522,13.0,382.899475
2019042523,12.1,432.12940749999996
2019042600,10.7,508.70930250000004
2019042601,11.2,481.3593400000001
2019042602,11.5,464.9493625
2019042603,10.8,503.23930999999993
2019042604,9.8,557.9392349999999
2019042605,9.4,579.819205
2019042606,9.6,524.39922
2019042607,10.3,308.3492725
2019042608,10.7,0.0
2019042609,11.2,0.0
2019042610,12.0,0.0
2019042611,12.7,0.0
2019042612,13.2,0.0
2019042613,14.2,0.0
2019042614,15.2,0.0
2019042615,16.4,0.0
2019042616,15.7,0.0
2019042617,15.2,0.0
2019042618,13.5,0.0
2019042619,10.4,258.47928
2019042620,10.0,546.99925
2019042621,9.5,574.3492125
2019042622,9.7,563.4092275
2019042623,7.1,705.6290325
2019042700,9.2,590.7591900000001
2019042701,8.9,607.1691675
2019042702,8.0,656.3991
2019042703,7.6,678.27907
2019042704,8.0,656.3991
2019042705,7.9,617.3890925000001
2019042706,8.7,151.46915249999998
2019042707,9.0,68.33917500000004
2019042708,10.1,208.16925750000007
2019042709,10.8,0.0
2019042710,10.9,0.0
2019042711,8.5,0.0
2019042712,8.9,0.0
2019042713,9.6,0.0
2019042714,12.4,0.0
2019042715,9.1,0.0
2019042716,9.1,0.0
2019042717,9.7,0.0
2019042718,10.1,97.04925750000007
2019042719,8.3,462.2291225000001
2019042720,8.0,656.3991
2019042721,8.6,623.579145
2019042722,8.0,656.3991
2019042723,7.9,661.8690925000001
