STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
2667;2024031905;3;   6.9;  90.0;eor
2667;2024031906;3;   7.2;  90.0;eor
2667;2024031907;3;   7.5;  88.0;eor
2667;2024031908;3;   8.8;  85.0;eor
2667;2024031909;3;  10.2;  79.0;eor
2667;2024031910;3;  12.2;  70.0;eor
2667;2024031911;3;  14.6;  58.0;eor
2667;2024031912;3;  15.7;  55.0;eor
2667;2024031913;3;  16.0;  56.0;eor
2667;2024031914;3;  17.4;  48.0;eor
2667;2024031915;3;  17.6;  46.0;eor
2667;2024031916;3;  16.7;  49.0;eor
2667;2024031917;3;  15.8;  52.0;eor
2667;2024031918;3;  14.4;  56.0;eor
2667;2024031919;3;  13.3;  61.0;eor
2667;2024031920;3;  13.0;  64.0;eor
2667;2024031921;3;  12.5;  64.0;eor
2667;2024031922;3;  11.9;  68.0;eor
2667;2024031923;3;  11.3;  71.0;eor
2667;2024032000;3;  10.4;  75.0;eor
2667;2024032001;3;   9.9;  77.0;eor
2667;2024032002;3;   7.7;  83.0;eor
2667;2024032003;3;   8.2;  86.0;eor
2667;2024032004;3;   8.1;  87.0;eor
2667;2024032005;3;   6.9;  88.0;eor
2667;2024032006;3;   7.0;  92.0;eor
2667;2024032007;3;   8.3;  90.0;eor
2667;2024032008;3;  11.3;  79.0;eor
2667;2024032009;3;  13.6;  68.0;eor
2667;2024032010;3;  15.5;  60.0;eor
2667;2024032011;3;  17.0;  52.0;eor
2667;2024032012;3;  18.2;  47.0;eor
2667;2024032013;3;  18.5;  43.0;eor
2667;2024032014;3;  19.0;  41.0;eor
2667;2024032015;3;  19.3;  41.0;eor
2667;2024032016;3;  18.1;  47.0;eor
2667;2024032017;3;  17.8;  46.0;eor
2667;2024032018;3;  15.9;  55.0;eor
2667;2024032019;3;  14.5;  58.0;eor
2667;2024032020;3;  13.8;  61.0;eor
2667;2024032021;3;  11.1;  72.0;eor
2667;2024032022;3;   9.4;  77.0;eor
2667;2024032023;3;  10.8;  75.0;eor
2667;2024032100;3;   8.0;  85.0;eor
2667;2024032101;3;   8.0;  87.0;eor
2667;2024032102;3;   7.6;  88.0;eor
2667;2024032103;3;   7.5;  89.0;eor
2667;2024032104;3;   7.6;  90.0;eor
2667;2024032105;3;   7.5;  90.0;eor
2667;2024032106;3;   8.5;  89.0;eor
2667;2024032107;3;   9.1;  92.0;eor
2667;2024032108;3;  11.5;  85.0;eor
2667;2024032109;3;  10.9;  85.0;eor
2667;2024032110;3;  10.9;  80.0;eor
2667;2024032111;3;  12.5;  69.0;eor
2667;2024032112;3;  12.4;  68.0;eor
2667;2024032113;3;  12.6;  66.0;eor
2667;2024032114;3;  12.4;  68.0;eor
2667;2024032115;3;  12.5;  66.0;eor
2667;2024032116;3;  12.2;  69.0;eor
2667;2024032117;3;  11.6;  70.0;eor
2667;2024032118;3;  11.0;  75.0;eor
2667;2024032119;3;  10.3;  77.0;eor
2667;2024032120;3;   9.2;  82.0;eor
2667;2024032121;3;   9.0;  83.0;eor
2667;2024032122;3;   8.6;  84.0;eor
2667;2024032123;3;   9.1;  85.0;eor
2667;2024032200;3;   8.9;  84.0;eor
2667;2024032201;3;   9.2;  83.0;eor
2667;2024032202;3;   9.0;  84.0;eor
2667;2024032203;3;   9.4;  82.0;eor
2667;2024032204;3;   9.7;  82.0;eor
2667;2024032205;3;   9.6;  84.0;eor
2667;2024032206;3;   9.8;  85.0;eor
2667;2024032207;3;  10.8;  81.0;eor
2667;2024032208;3;  13.0;  72.0;eor
2667;2024032209;3;  14.3;  68.0;eor
2667;2024032210;3;  15.0;  65.0;eor
2667;2024032211;3;  15.2;  62.0;eor
2667;2024032212;3;  16.2;  58.0;eor
2667;2024032213;3;  15.1;  59.0;eor
2667;2024032214;3;  15.7;  57.0;eor
2667;2024032215;3;  15.8;  52.0;eor
2667;2024032216;3;  15.1;  57.0;eor
2667;2024032217;3;  12.8;  73.0;eor
2667;2024032218;3;  11.2;  82.0;eor
2667;2024032219;3;  10.6;  85.0;eor
2667;2024032220;3;  10.2;  85.0;eor
2667;2024032221;3;  10.1;  87.0;eor
2667;2024032222;3;  10.1;  87.0;eor
2667;2024032223;3;   8.4;  96.0;eor
2667;2024032300;3;   7.8;  94.0;eor
2667;2024032301;3;   7.1;  95.0;eor
2667;2024032302;3;   6.6;  95.0;eor
2667;2024032303;3;   5.6;  92.0;eor
2667;2024032304;3;   4.6;  88.0;eor
2667;2024032305;3;   4.9;  89.0;eor
2667;2024032306;3;   4.9;  91.0;eor
2667;2024032307;3;   5.2;  88.0;eor
2667;2024032308;3;   6.9;  81.0;eor
2667;2024032309;3;   7.4;  69.0;eor
2667;2024032310;3;   7.8;  72.0;eor
2667;2024032311;3;   4.0;  81.0;eor
2667;2024032312;3;   7.7;  72.0;eor
2667;2024032313;3;   5.7;  78.0;eor
2667;2024032314;3;   7.4;  68.0;eor
2667;2024032315;3;   5.8;  74.0;eor
2667;2024032316;3;   3.5;  89.0;eor
2667;2024032317;3;   4.7;  82.0;eor
2667;2024032318;3;   3.2;  86.0;eor
2667;2024032319;3;   4.3;  86.0;eor
2667;2024032320;3;   2.0;  93.0;eor
2667;2024032321;3;   2.9;  92.0;eor
2667;2024032322;3;   4.2;  88.0;eor
2667;2024032323;3;   4.0;  88.0;eor
2667;2024032400;3;   3.9;  92.0;eor
2667;2024032401;3;   3.9;  92.0;eor
2667;2024032402;3;   4.0;  88.0;eor
2667;2024032403;3;   3.9;  86.0;eor
2667;2024032404;3;   4.2;  84.0;eor
2667;2024032405;3;   4.6;  84.0;eor
2667;2024032406;3;   4.4;  89.0;eor
2667;2024032407;3;   5.5;  83.0;eor
2667;2024032408;3;   5.6;  85.0;eor
2667;2024032409;3;   5.6;  84.0;eor
2667;2024032410;3;   7.2;  73.0;eor
2667;2024032411;3;   8.0;  69.0;eor
2667;2024032412;3;   9.3;  60.0;eor
2667;2024032413;3;   8.2;  68.0;eor
2667;2024032414;3;   9.1;  59.0;eor
2667;2024032415;3;   8.9;  62.0;eor
2667;2024032416;3;   7.7;  70.0;eor
2667;2024032417;3;   8.3;  66.0;eor
2667;2024032418;3;   6.7;  75.0;eor
2667;2024032419;3;   6.4;  75.0;eor
2667;2024032420;3;   6.1;  80.0;eor
2667;2024032421;3;   5.6;  81.0;eor
2667;2024032422;3;   5.7;  80.0;eor
2667;2024032423;3;   5.8;  80.0;eor
2667;2024032500;3;   5.7;  80.0;eor
2667;2024032501;3;   4.9;  83.0;eor
2667;2024032502;3;   5.4;  83.0;eor
2667;2024032503;3;   5.1;  83.0;eor
2667;2024032504;3;   4.6;  85.0;eor
2667;2024032505;3;   3.0;  88.0;eor
2667;2024032506;3;   2.1;  93.0;eor
2667;2024032507;3;   3.8;  85.0;eor
2667;2024032508;3;   6.0;  72.0;eor
2667;2024032509;3;   7.2;  66.0;eor
2667;2024032510;3;   7.8;  58.0;eor
2667;2024032511;3;   9.4;  56.0;eor
2667;2024032512;3;   9.9;  44.0;eor
2667;2024032513;3;  10.1;  46.0;eor
2667;2024032514;3;  11.3;  42.0;eor
2667;2024032515;3;  12.1;  45.0;eor
2667;2024032516;3;  12.1;  44.0;eor
2667;2024032517;3;  10.8;  44.0;eor
2667;2024032518;3;   9.7;  47.0;eor
2667;2024032519;3;   8.8;  49.0;eor
2667;2024032520;3;   8.0;  53.0;eor
2667;2024032521;3;   6.8;  58.0;eor
2667;2024032522;3;   6.7;  56.0;eor
2667;2024032523;3;   5.9;  59.0;eor
2667;2024032600;3;   5.7;  61.0;eor
2667;2024032601;3;   5.7;  61.0;eor
2667;2024032602;3;   6.0;  60.0;eor
2667;2024032603;3;   6.2;  59.0;eor
2667;2024032604;3;   6.3;  59.0;eor
2667;2024032605;3;   6.1;  61.0;eor
2667;2024032606;3;   6.1;  62.0;eor
2667;2024032607;3;   6.7;  59.0;eor
2667;2024032608;3;   7.1;  59.0;eor
2667;2024032609;3;   6.9;  68.0;eor
2667;2024032610;3;   8.1;  62.0;eor
2667;2024032611;3;   9.8;  56.0;eor
2667;2024032612;3;  10.3;  57.0;eor
2667;2024032613;3;  11.4;  54.0;eor
2667;2024032614;3;  12.9;  52.0;eor
2667;2024032615;3;  14.1;  49.0;eor
2667;2024032616;3;  14.2;  50.0;eor
2667;2024032617;3;  13.5;  54.0;eor
2667;2024032618;3;  12.9;  51.0;eor
2667;2024032619;3;  12.5;  49.0;eor
2667;2024032620;3;  12.0;  50.0;eor
2667;2024032621;3;  11.2;  56.0;eor
2667;2024032622;3;  10.9;  59.0;eor
2667;2024032623;3;  10.7;  58.0;eor
2667;2024032700;3;  10.6;  58.0;eor
2667;2024032701;3;   9.2;  66.0;eor
2667;2024032702;3;   9.9;  59.0;eor
2667;2024032703;3;   9.7;  60.0;eor
2667;2024032704;3;   9.1;  63.0;eor
2667;2024032705;3;   9.4;  65.0;eor
2667;2024032706;3;   8.9;  70.0;eor
2667;2024032707;3;   9.1;  74.0;eor
2667;2024032708;3;   9.8;  74.0;eor
2667;2024032709;3;  10.6;  72.0;eor
2667;2024032710;3;  10.9;  71.0;eor
2667;2024032711;3;  10.7;  69.0;eor
2667;2024032712;3;  10.3;  73.0;eor
2667;2024032713;3;   9.3;  79.0;eor
2667;2024032714;3;   8.5;  85.0;eor
2667;2024032715;3;   8.3;  81.0;eor
2667;2024032716;3;   8.2;  85.0;eor
2667;2024032717;3;   8.2;  85.0;eor
2667;2024032718;3;   8.2;  85.0;eor
2667;2024032719;3;   7.8;  83.0;eor
2667;2024032720;3;   7.8;  84.0;eor
2667;2024032721;3;   7.4;  85.0;eor
2667;2024032722;3;   7.3;  83.0;eor
2667;2024032723;3;   6.9;  85.0;eor
2667;2024032800;3;   6.7;  83.0;eor
2667;2024032801;3;   6.9;  81.0;eor
2667;2024032802;3;   6.5;  82.0;eor
2667;2024032803;3;   5.6;  84.0;eor
2667;2024032804;3;   6.2;  79.0;eor
2667;2024032805;3;   6.0;  78.0;eor
2667;2024032806;3;   6.5;  74.0;eor
2667;2024032807;3;   7.5;  69.0;eor
2667;2024032808;3;   7.0;  76.0;eor
2667;2024032809;3;   7.5;  78.0;eor
2667;2024032810;3;   7.9;  79.0;eor
2667;2024032811;3;   9.5;  68.0;eor
